
Network, $c\mu$, MW, MP, FP, PPO, PPO (BC), PPO (WC)
Criss Cross, 16.16, 15.32, 8370.00, 29.32, 8650.00, 24.01, 15.43
Reentrant-1[Exp] 2, 18.98, 14.81, 5000.00, 1020.00, 1800.00, 25.1, 13.6
Reentrant-1[Exp] 3, 21.61, 24.83, 25000.00, 8100.00, 10300.00, 48.2, 22.6
Reentrant-1[Exp] 4, 30.15, 32.09, 40000.00, 4320.00, 17500.00, 183.4, 29.7
Reentrant-1[Exp] 5, 51.27, 50.01, 50000.00, 9770.00, 26500.00, 135.2, 38.7
Reentrant-1[Exp] 6, 54.73, 49.24, 100000.00, 12300.00, 59300.00, 358.0, 4.85
Reentrant-1[Exp] 7, 56.36, 54.41, 50000.00, 29700.00, 43900.00, 526.6, 56.3
Reentrant-1[Exp] 8, 59.41, 67.99, 150000.00, 17800.00, 59300.00, 868.5, 65.8
Reentrant-1[Exp] 9, 72.70, 64.41, 150000.00, 53500.00, 112000.00, 1304.5, 75.8
Reentrant-1[Exp] 10, 87.69, 80.08, 200000.00, 63200.00, 166000.00, 3809.1, 83.1
Reentrant-2[Exp] 2, 26.01, 17.45, 24900.00, 1.76, 9040.00, 30.62, 13.72
Reentrant-2[Exp] 3, 26.27, 26.65, 40000.00, 2120.00, 18200.00, 48.59, 22.09
Reentrant-2[Exp] 4, 27.62, 34.10, 39900.00, 5540.00, 17700.00, 79.20, 29.90
Reentrant-2[Exp] 5, 44.82, 40.34, 49900.00, 9720.00, 25800.00, 91.65, 38.01
Reentrant-2[Exp] 6, 54.48, 46.63, 100000.00, 16500.00, 40200.00, 526.57, 46.80
Reentrant-2[Exp] 7, 70.25, 77.93, 99800.00, 13900.00, 57800.00, 352.02, 55.51
Reentrant-2[Exp] 8, 70.32, 72.96, 100000.00, 27300.00, 47900.00, 1332.68, 63.15
Reentrant-2[Exp] 9, 65.80, 77.34, 100000.00, 65300.00, 65400.00, 1574.86, 70.30
Reentrant-2[Exp] 10, 81.35, 82.00, 150000.00, 93600.00, 81100.00, 1876.54, 80.36
Reentrant-1[Hyper] 2, 39.41, 39.19, 43.79, 43.57 , 9900.00, 62.66, 29.94
Reentrant-1[Hyper] 3, 52.36, 55.53, 68,65, 59.15, 19600.00, 305.05, 47.45
Reentrant-1[Hyper] 4, 70.92, 72.29, 89.38, 75.62, 18900.00, 167.20, 64.39
Reentrant-1[Hyper] 5, 81.47, 90.98, 112.01, 96.96, 48000.00, 913.39, 81.80
Reentrant-1[Hyper] 6, 104.32, 103.86,126.69, 111.23, 59100.00, 2383.03, 99.77
Reentrant-1[Hyper] 7, 116.60, 123.25, 152.28, 151.00, 65400.00, 3054.62, 118.20
Reentrant-2[Hyper] 2, 37.84, 30.06, 58.63, 39.75, 9750.00, 66.87, 30.67
Reentrant-2[Hyper] 3, 50.15, 57.89, 67.14, 55.52, 20500.00, 482.64, 45.66
Reentrant-2[Hyper] 4, 69.96, 76.80, 92.96, 72.09, 19300.00, 149.23, 61.09
Reentrant-2[Hyper] 5, 81.69, 90.45, 109.03, 84.17, 25600.00, 371.65, 77.98
Reentrant-2[Hyper] 6, 101.08, 103.80, 123.60, 99.54, 67100.00, 1363.93, 93.84
Reentrant-2[Hyper] 7, 110.38, 117.87, 135.58, 118.91, 65400.00, 2317.88, 110.48
N Model, 171000.00, 40.22, 40.22, 798.00, 8820.00, 100.89, 44.29
5x5 Time-Varying, 17.81, 15.19, 15.19, 26.65, 12200.00, 25.17, 16.82
Input Switch, 5.30, 5.60, 4940.00, 4940.00, 7290.00, 11.80, 5.32
Hospital, 444.00, 444.00, 444.00, 1520.00, 24400.00, 24700.00, 23300.00
